block,method,num_agents,obs_radius,seed,isr,csr,makespan
main,A* Only,8,5,90015,1.0,1.0,41
main,A* Only,8,5,90016,1.0,1.0,104
main,A* Only,8,5,90017,1.0,1.0,67
main,A* Only,8,5,90018,1.0,1.0,57
main,A* Only,8,5,90019,1.0,1.0,93
main,A* Only,8,5,90020,0.75,0.0,
main,A* Only,8,5,90021,1.0,1.0,90
main,A* Only,8,5,90022,1.0,1.0,45
main,A* Only,8,5,90023,1.0,1.0,49
main,A* Only,8,5,90024,1.0,1.0,71
main,A* Only,8,5,90025,1.0,1.0,58
main,A* Only,8,5,90026,1.0,1.0,131
main,A* Only,8,5,90027,1.0,1.0,50
main,A* Only,8,5,90028,1.0,1.0,42
main,A* Only,8,5,90029,1.0,1.0,65
main,A* Only,8,5,90030,0.75,0.0,
main,A* Only,8,5,90031,1.0,1.0,69
main,A* Only,8,5,90032,1.0,1.0,51
main,A* Only,8,5,90033,1.0,1.0,46
main,A* Only,8,5,90034,0.75,0.0,
main,A* Only,8,5,90035,1.0,1.0,100
main,A* Only,8,5,90036,1.0,1.0,81
main,A* Only,8,5,90037,0.75,0.0,
main,A* Only,8,5,90038,1.0,1.0,51
main,A* Only,8,5,90039,0.75,0.0,
main,A* Only,8,5,90040,0.75,0.0,
main,A* Only,8,5,90041,1.0,1.0,67
main,A* Only,8,5,90042,1.0,1.0,59
main,A* Only,8,5,90043,0.75,0.0,
main,A* Only,8,5,90044,1.0,1.0,76
main,A* Only,8,5,90045,0.75,0.0,
main,A* Only,8,5,90046,1.0,1.0,49
main,A* Only,8,5,90047,1.0,1.0,113
main,A* Only,8,5,90048,1.0,1.0,68
main,A* Only,8,5,90049,1.0,1.0,60
main,A* Only,8,5,90050,1.0,1.0,61
main,A* Only,8,5,90051,1.0,1.0,72
main,A* Only,8,5,90052,0.75,0.0,
main,A* Only,8,5,90053,1.0,1.0,54
main,A* Only,8,5,90054,0.75,0.0,
main,A* Only,8,5,90055,1.0,1.0,52
main,A* Only,8,5,90056,1.0,1.0,95
main,A* Only,8,5,90057,1.0,1.0,67
main,A* Only,8,5,90058,1.0,1.0,91
main,A* Only,8,5,90059,1.0,1.0,71
main,A* Only,8,5,90060,1.0,1.0,35
